1. YEAR,2. TRIFD,3. FRS ID,4. FACILITY NAME,5. STREET ADDRESS,6. CITY,7. COUNTY,8. ST,9. ZIP,34. CHEMICAL
2021,08077HGNSCRIVER,1.10E+11,HOEGANAES CORP,1001 TAYLORS LN,CINNAMINSON,BURLINGTON,NJ,8077,Copper
2021,08873WMZNS39BEL,1.10E+11,RUST-OLEUM CORP,173 BELMONT DR,SOMERSET,SOMERSET,NJ,8873,Styrene
2021,08066MBLLCBILLI,1.10E+11,PAULSBORO REFINING CO LLC,800 BILLINGSPORT RD,PAULSBORO,GLOUCESTER,NJ,8066,Toluene
2021,08066MBLLCBILLI,1.10E+11,PAULSBORO REFINING CO LLC,800 BILLINGSPORT RD,PAULSBORO,GLOUCESTER,NJ,8066,Ammonia
2021,07036XXNXX1400P,1.10E+11,PHILLIPS 66 CO-BAYWAY REFINERY,1400 PARK AVE,LINDEN,UNION,NJ,7036,Ethylbenzene
2021,07206CYCLC217SF,1.10E+11,CYCLE CHEM INC.,217 S FIRST ST,ELIZABETH,UNION,NJ,7206,Ethylene glycol
2021,07073DBSCHUNION,1.10E+11,DIAMOND CHEMICAL CO. INC.,UNION AVE & DUBOIS ST,EAST RUTHERFORD,BERGEN,NJ,7073,Diethanolamine
2021,07080MTZMT3900S,1.10E+11,AMES ADVANCED MATERIALS CORP,3900 S CLINTON AVE,SOUTH PLAINFIELD,MIDDLESEX,NJ,7080,Nitrate compounds (water dissociable; reportable only when in aqueous solution)
2021,07032SWWST115JA,1.10E+11,CLEAN EARTH OF NORTH JERSEY INC,105 JACOBUS AVE,KEARNY,HUDSON,NJ,7032,Trichloroethylene
2021,07036XXNXX1400P,1.10E+11,PHILLIPS 66 CO-BAYWAY REFINERY,1400 PARK AVE,LINDEN,UNION,NJ,7036,Naphthalene
2021,07407MRCLP1MARK,1.10E+11,MARCAL  MANUFACTURING LLC,1 MARKET ST,ELMWOOD PARK,BERGEN,NJ,7407,Dioxin and dioxin-like compounds
2021,08873WMZNS39BEL,1.10E+11,RUST-OLEUM CORP,173 BELMONT DR,SOMERSET,SOMERSET,NJ,8873,Ethyl acrylate
2021,07077SHLLL111ST,1.10E+11,SEWAREN TERMINAL,111 STATE ST,SEWAREN,MIDDLESEX,NJ,7077,"1,2,4-Trimethylbenzene"
2021,07105NWRKT909DE,1.10E+11,SHELL OIL PRODUCTS US NEWARK TERMINAL,909 DELANCY ST,NEWARK,ESSEX,NJ,7105,"Benzo[g,h,i]perylene"
2021,07001PRDSL211RA,1.10E+11,PRIDE SOLVENTS & CHEMICAL CO OF NEW JERSEY,211 RANDOLPH AVE,AVENEL,MIDDLESEX,NJ,7001,tert-Butyl alcohol
2021,07036XXNXX1400P,1.10E+11,PHILLIPS 66 CO-BAYWAY REFINERY,1400 PARK AVE,LINDEN,UNION,NJ,7036,Hydrogen sulfide
2021,07077SHLLL111ST,1.10E+11,SEWAREN TERMINAL,111 STATE ST,SEWAREN,MIDDLESEX,NJ,7077,Cyclohexane
2021,0882WLXFRM5BARB,1.10E+11,LUXFER MEL TECHNOLOGIES DBA MEL CHEMICAL-TREATMENT PLANT,500 BARBERTOWN POINT BREEZE RD,FLEMINGTON,HUNTERDON,NJ,8822,Nitrate compounds (water dissociable; reportable only when in aqueous solution)
2021,08619MNVLLATLAN,1.10E+11,JOHNS MANVILLE,437 N GROVE ST,BERLIN,CAMDEN,NJ,8009,Chromium compounds (except for chromite ore mined in the Transvaal Region)
2021,07114CHMFL92896,1.10E+11,CHEM FLUER/FIRMENICH INC,150 FIRMENICH WAY,NEWARK,ESSEX,NJ,7114,Methanol
2021,07083FRMST941BA,1.10E+11,FOREMOST MANUFACTURING CO INC,941 BALL AVE,UNION,UNION,NJ,7083,Nitrate compounds (water dissociable; reportable only when in aqueous solution)
2021,08030KCHPTKINGW,1.10E+11,BKEP MATERIALS LLC -- GLOUCESTER CITY,KING ST. & JERSEY AVENUE,GLOUCESTER CITY,CAMDEN,NJ,8030,"Benzo[g,h,i]perylene"
2021,07072PTTRS6INDU,1.10E+11,POTTERS INDUSTRIES LLC,600 IND US TRIAL RD,CARLSTADT,BERGEN,NJ,7072,Nickel
2021,07410FSHRS1REAG,1.10E+11,FISHER SCIENTIFIC CO L.L. C.,1 REAGENT LN,FAIR LAWN,BERGEN,NJ,7410,Mercury  And Mercury Compounds
2021,07032VCKRD67CEN,1.10E+11,VECKRIDGE CHEMICAL,60-70 CENTRAL AVE,SOUTH KEARNY,HUDSON,NJ,7032,Nitric acid
2021,07047WRGRC21338,1.10E+11,GCP APPLIED TECHNOLOGIES INC,2133 85TH ST,NORTH BERGEN,HUDSON,NJ,7047,Nitrate compounds (water dissociable; reportable only when in aqueous solution)
2021,07410KRSCH2001P,1.10E+11,ZIMMER BIOMET,20-01 POLLITT DR,FAIR LAWN,BERGEN,NJ,7410,Chromium
2021,0802WCHMRS67CAN,1.10E+11,CHEMOURS CHAMBERS WORKS,67 CANAL ROAD,DEEPWATER,SALEM,NJ,8023,"Hydrochloric acid (acid aerosols including mists, vapors, gas, fog, and other airborne forms of any particle size)"
2021,07114GJCHM37037,1.10E+11,DOREMUS TERMINAL LLC,128 DOREMUS AVE,NEWARK,ESSEX,NJ,7105,Di(2-ethylhexyl) phthalate
2021,08066MBLLCBILLI,1.10E+11,PAULSBORO REFINING CO LLC,800 BILLINGSPORT RD,PAULSBORO,GLOUCESTER,NJ,8066,n-Hexane
2021,07001PRDSL211RA,1.10E+11,PRIDE SOLVENTS & CHEMICAL CO OF NEW JERSEY,211 RANDOLPH AVE,AVENEL,MIDDLESEX,NJ,7001,Methyl tert-butyl ether
2021,07036XXNXX1400P,1.10E+11,PHILLIPS 66 CO-BAYWAY REFINERY,1400 PARK AVE,LINDEN,UNION,NJ,7036,Mercury compounds
2021,07011LMRTC16RIC,1.10E+11,LAMART CORP,16 RICHMOND ST,CLIFTON,PASSAIC,NJ,7011,Tetrabromobisphenol A
2021,08876FSHRS755RT,1.10E+11,FISHER SCIENTIFIC CO. L.L.C.,755 RT 202,BRIDGEWATER,SOMERSET,NJ,8807,Toluene
2021,0802WCHMRS67CAN,1.10E+11,CHEMOURS CHAMBERS WORKS,67 CANAL ROAD,DEEPWATER,SALEM,NJ,8023,Polycyclic aromatic compounds
2021,08102FWWNTDELAW,1.10E+11,FW WINTER INC & CO,DELAWARE AVE & ELM ST,CAMDEN,CAMDEN,NJ,8102,Chromium  and Chromium Compounds(except for chromite ore mined in the Transvaal Region)
2021,08884SPRRSPOBOX,1.10E+11,SUPERIOR SIGNAL CO LLC,178 - 182 W GREYSTONE RD,OLD BRIDGE,MIDDLESEX,NJ,8857,Zinc (fume or dust)
2021,07201GDNVTNAVED,1.10E+11,ALLIED AVIATION SERVICE CO OF NEW JERSEY INC,BUILDING 116 FUEL FARM RD NEWARK INTERNATIONAL AIR,ELIZABETH,ESSEX,NJ,7201,Toluene
2021,07105NWRKT909DE,1.10E+11,SHELL OIL PRODUCTS US NEWARK TERMINAL,909 DELANCY ST,NEWARK,ESSEX,NJ,7105,Xylene (mixed isomers)
2021,07095RSSLL14CON,1.10E+11,MAUSER USA LLC - WOODBRIDGE (NJ),14 CONVERY BLVD,WOODBRIDGE,MIDDLESEX,NJ,7095,"1,2,4-Trimethylbenzene"
2021,0708WKYSTN3451S,1.10E+11,KEYSTONE PLASTICS INC.,3451 SOUTH CLINTON AVENUE,SOUTH PLAINFIELD,MIDDLESEX,NJ,7080,Lead  And Lead Compounds
2021,08066JHNSN2001A,1.10E+11,JOHNSON MATTHEY,2001 NOLTE DR,WEST DEPTFORD,GLOUCESTER,NJ,8066,"Hydrochloric acid (acid aerosols including mists, vapors, gas, fog, and other airborne forms of any particle size)"
2021,07032SWWST115JA,1.10E+11,CLEAN EARTH OF NORTH JERSEY INC,105 JACOBUS AVE,KEARNY,HUDSON,NJ,7032,Mercury  And Mercury Compounds
2021,07201GDNVTNAVED,1.10E+11,ALLIED AVIATION SERVICE CO OF NEW JERSEY INC,BUILDING 116 FUEL FARM RD NEWARK INTERNATIONAL AIR,ELIZABETH,ESSEX,NJ,7201,n-Hexane
2021,08876PRNTN50MEI,1.10E+11,EMD PERFORMANCE MATERIALS CORP,50-70 MEISTER AVE,SOMERVILLE,SOMERSET,NJ,8876,Naphthalene
2021,07201GDNVTNAVED,1.10E+11,ALLIED AVIATION SERVICE CO OF NEW JERSEY INC,BUILDING 116 FUEL FARM RD NEWARK INTERNATIONAL AIR,ELIZABETH,ESSEX,NJ,7201,Ethylbenzene
2021,08862WTCCR1000C,1.10E+11,LANXESS CORP,1000 CONVERY BLVD,PERTH AMBOY,MIDDLESEX,NJ,8861,Ethylene glycol
2021,07036SFTYK1200S,1.10E+11,SAFETY-KLEEN SYSTEMS INC,1200 SYLVAN ST,LINDEN,UNION,NJ,7036,"N,N-Dimethylformamide"
2021,07114NWJRS139HA,1.10E+11,NEW JERSEY GALVANIZING & TINNING WORKS,139 HAYNES AVE,NEWARK,ESSEX,NJ,7114,Zinc compounds
2021,07036SFTYK1200S,1.10E+11,SAFETY-KLEEN SYSTEMS INC,1200 SYLVAN ST,LINDEN,UNION,NJ,7036,Certain glycol ethers
2021,07105NWRKT909DE,1.10E+11,SHELL OIL PRODUCTS US NEWARK TERMINAL,909 DELANCY ST,NEWARK,ESSEX,NJ,7105,Lead compounds
