Year,Zip,Chemical
2021,8077,Copper
2021,8873,Styrene
2021,8066,Toluene
2021,8066,Ammonia
2021,7036,Ethylbenzene
2021,7206,Ethylene glycol
2021,7073,Diethanolamine
2021,7080,Nitrate compounds (water dissociable; reportable only when in aqueous solution)
2021,7032,Trichloroethylene
2021,7036,Naphthalene
2021,7407,Dioxin and dioxin-like compounds
2021,8873,Ethyl acrylate
2021,7077,"1,2,4-Trimethylbenzene"
2021,7105,"Benzo[g,h,i]perylene"
2021,7001,tert-Butyl alcohol
2021,7036,Hydrogen sulfide
2021,7077,Cyclohexane
2021,8822,Nitrate compounds (water dissociable; reportable only when in aqueous solution)
2021,8009,Chromium compounds (except for chromite ore mined in the Transvaal Region)
2021,7114,Methanol
2021,7083,Nitrate compounds (water dissociable; reportable only when in aqueous solution)
2021,8030,"Benzo[g,h,i]perylene"
2021,7072,Nickel
2021,7410,Mercury  And Mercury Compounds
2021,7032,Nitric acid
2021,7047,Nitrate compounds (water dissociable; reportable only when in aqueous solution)
2021,7410,Chromium
2021,8023,"Hydrochloric acid (acid aerosols including mists, vapors, gas, fog, and other airborne forms of any particle size)"
2021,7105,Di(2-ethylhexyl) phthalate
2021,8066,n-Hexane
2021,7001,Methyl tert-butyl ether
2021,7036,Mercury compounds
2021,7011,Tetrabromobisphenol A
2021,8807,Toluene
2021,8023,Polycyclic aromatic compounds
2021,8102,Chromium  and Chromium Compounds(except for chromite ore mined in the Transvaal Region)
2021,8857,Zinc (fume or dust)
2021,7201,Toluene
2021,7105,Xylene (mixed isomers)
2021,7095,"1,2,4-Trimethylbenzene"
2021,7080,Lead  And Lead Compounds
2021,8066,"Hydrochloric acid (acid aerosols including mists, vapors, gas, fog, and other airborne forms of any particle size)"
2021,7032,Mercury  And Mercury Compounds
2021,7201,n-Hexane
2021,8876,Naphthalene
2021,7201,Ethylbenzene
2021,8861,Ethylene glycol
2021,7036,"N,N-Dimethylformamide"
2021,7114,Zinc compounds
